"time","Umidade"
1741370845673,40.93
1741370911970,41.03
1741370978353,40.96
1741371044514,40.74
1741371110865,40.66
1741371177225,40.43
1741371243595,40.34
1741371309951,40.15
1741371376314,40
1741371442675,39.91
1741371509340,39.8
1741371575191,39.65
1741371641549,39.57
1741371707913,39.54
1741371839603,39.41
1741371905766,39.33
1741371972113,39.3
1741372038680,39.27
1741372104830,39.23
1741372171197,39.06
1741372237548,38.97
1741372303907,38.98
1741372370259,38.89
1741372436412,38.87
1741372502775,38.88
1741372569130,38.95
1741372635489,38.98
1741372701841,38.95
1741372768620,38.93
1741372834500,39.02
1741372900917,38.93
1741372967710,38.97
1741373033425,38.97
1741373099787,38.89
1741373166900,38.8
1741373232488,38.77
1741373304365,38.75
1741373376240,38.71
1741373442593,38.71
1741373508745,39.04
1741373575298,39.29
1741373641444,39.48
1741373707800,39.57
1741373774900,39.53
1741373840510,39.5
1741373906726,39.33
1741373973900,39.28
1741374039365,39.13
1741374105718,39.08
1741374174535,38.99
1741374238429,38.95
1741374304988,38.99
1741374371443,39.11
1741374437805,38.98
1741374504263,38.93
1741374570615,38.91
1741374636772,38.79
1741374703119,38.68
1741374769477,38.65
1741374835834,38.63
1741374902189,38.56
1741374968507,38.61
1741375034899,38.61
1741375101520,38.58
1741375167357,38.59
1741375233990,38.5
1741375300180,38.54
1741375366414,38.49
1741375432866,38.53
1741375499180,38.43
1741375565392,38.37
1741375631729,38.34
1741375698900,38.25
1741375764340,38.27
1741375830748,38.25
1741375896992,38.18
1741375963449,38.27
1741376029651,38.65
1741376095979,39.9
1741376162354,40.5
1741376228703,40.4
1741376294982,40.22
1741376361394,39.88
1741376427825,39.66
1741376493984,39.45
1741376560335,39.33
1741376626641,39.21
1741376693490,39.04
1741376759407,38.97
1741376825766,38.9
1741376892100,38.74
1741376958484,38.7
1741377024596,38.61
1741377090925,38.52
1741377157347,38.45
1741377223703,38.41
1741377289909,38.34
1741377356265,38.32
1741377488903,38.21
1741377555192,38.22
1741377686939,38.34
1741377753329,38.55
1741377819648,38.71
1741377885757,38.93
1741377952850,39.25
1741378018503,39.68
1741378084730,39.88
1741378151216,40.14
1741378217372,40.28
1741378283715,40.43
1741378350750,40.7
1741378419121,40.83
1741378483273,41.27
1741378549428,41.77
1741378615372,41.99
1741378681687,42.69
1741378748100,42.92
1741378814337,42.68
1741378880792,43.07
1741379013506,43.52
1741379079627,43.78
1741379146900,43.25
1741379212270,43.21
1741379279135,43.05
1741379344994,43.33
1741379411435,43.2
1741379477792,43.11
1741379543950,43.27
1741379610234,43.25
1741379676581,43.12
1741379742936,43.13
1741379809295,43.03
1741379875631,43.16
1741379942500,43.09
1741380008360,43.22
1741380074718,43.19
1741380141260,43.18
1741380207224,43.23
1741380273583,43.22
1741380339936,43.39
1741380406292,43.36
1741380474904,43.29
1741380538978,43.4
1741380605360,43.35
1741380671516,43.46
1741380737869,43.37
1741380804226,43.4
1741380870586,43.43
1741380936940,43.5
1741381069650,43.59
1741381135801,43.59
1741381202361,43.59
1741381268514,43.83
1741381334863,43.72
1741381401219,43.8
1741381467568,43.84
1741381533947,43.83
1741381600620,43.97
1741381666414,44.18
1741381732763,44.12
1741381799117,44.29
1741381865470,44.42
1741381930797,44.63
1741381996947,44.57
1741382063299,44.88
1741382129859,44.83
1741382196416,44.98
1741382262771,44.94
1741382329126,45.08
1741382395480,45.21
1741382461718,45.4
1741382528192,45.26
1741382594542,45.32
1741382727100,45.53
1741382793403,45.62
1741382859755,45.78
1741382926111,45.84
1741382992467,45.93
1741383058821,46
1741383124969,46.02
1741383191325,46
1741383257682,45.98
1741383324400,46.06
1741383390394,46.09
1741383456759,46.14
1741383522976,46.14
1741383589291,46.32
1741383655837,46.31
1741383721991,46.41
1741383788295,46.49
1741383854708,46.66
1741383920993,46.73
1741383987273,46.7
1741384053788,46.83
1741384119936,46.96
1741384186252,46.92
1741384318951,47.1
1741384385248,46.98
1741384517911,47.2
1741384584441,47.19
1741384650593,47.22
1741384716944,47.21
1741384783305,47.23
1741384849658,47.2
1741384915863,47.28
1741388412663,
1741388813190,49.03
1741388945463,49.29
1741389011814,49.38
1741389078610,49.35
1741389144527,49.42
1741389277250,49.12
1741389349127,49.27
1741389422400,49.26
1741389494956,49.27
1741389567860,49.32
1741389640774,49.47
1741389712660,49.72
1741389779210,49.62
1741389845374,49.65
1741389911733,49.71
1741389978890,49.67
1741390044485,49.73
1741390110596,49.64
1741390176946,49.65
1741390243503,49.61
1741390310570,49.65
1741390376414,49.67
1741390442765,49.69
1741390509118,49.72
1741390575366,49.77
1741390641827,49.71
1741390708157,49.7
1741390774535,49.74
1741390840895,49.76
1741390907420,49.72
1741390975447,49.73
1741391039756,49.72
1741391106108,49.67
1741391172466,49.74
1741391238822,49.69
1741391305177,49.71
1741391371331,49.67
1741391437688,49.66
1741391504600,49.65
1741391570400,49.73
1741391703112,49.76
1741391769474,49.77
1741391835624,49.8
1741391901979,49.72
1741391968336,49.78
1741392101490,49.78
1741392167398,49.81
1741392233741,49.81
1741392299877,49.84
1741392366225,49.82
1741392432571,49.89
1741392498922,49.84
1741392565270,49.85
1741392631620,49.84
1741392697967,49.89
1741392764115,49.89
1741392896817,49.91
1741392968697,49.92
1741393041608,49.93
1741393114714,49.95
1741393187626,49.98
1741393260735,49.98
1741393332413,49.99
1741393398765,49.99
1741393465123,50.04
1741393531498,50.03
1741393597624,50.06
1741393663978,50.06
1741393730332,50.06
1741393796685,50.08
1741393863410,50.08
1741393929396,50.1
1741393995751,50.08
1741394061901,50.1
1741394128213,50.15
1741394194613,50.12
1741394260974,50.21
1741394327337,50.2
1741394393700,50.15
1741394461203,50.15
1741394592560,50.35
1741394659910,50.32
1741394725245,50.34
1741394791604,50.31
1741394857962,50.31
1741394924322,50.33
1741394990676,50.34
1741395057370,50.37
1741395123395,50.37
1741395189550,50.4
1741395255905,50.37
1741395322171,50.43
1741395388830,50.44
1741395454977,50.46
1741395521329,50.44
1741395587486,50.44
1741395653842,50.5
1741395720147,50.54
1741395787372,50.47
1741395919267,50.49
1741395985623,50.53
1741396051778,50.55
1741396118133,50.6
1741396184489,50.55
1741396250843,50.57
1741396317201,50.58
1741396383554,50.61
1741396449910,50.6
1741396516590,50.59
1741396582419,50.63
1741396648771,50.64
1741396781483,50.68
1741396847839,50.73
1741396914169,50.68
1741396980546,50.74
1741397113550,50.74
1741397184941,50.75
1741397257851,50.79
1741397330780,50.8
1741397403873,50.82
1741397476786,50.79
1741397548672,50.85
1741397681384,50.84
1741397747739,50.85
1741397880286,50.87
1741397946603,50.92
1741398012962,50.92
1741398079353,50.94
1741398147213,50.93
1741398211872,50.97
1741398283914,51
1741398355810,50.99
1741398429140,50.95
1741398502720,50.99
1741398575182,51.02
1741398648101,51.04
1741398719924,50.99
1741398786221,51.02
1741398852716,51.04
1741398985224,51.04
1741399051548,51.01
1741399117882,51.01
1741399184209,51.04
1741399250551,51.07
1741399317330,51.08
1741399455281,51.12
1741399526966,51.11
1741399600840,51.11
1741399673188,51.14
1741399745908,51.13
1741399818820,51.12
1741399890708,51.2
1741399957700,51.13
1741400023425,51.18
1741400089662,51.15
1741400156150,51.18
1741400222499,51.17
1741400288658,51.19
1741400354971,51.21
1741400421297,51.19
1741400487629,51.2
1741400553950,51.2
1741400620271,51.24
1741400686767,51.23
1741400752914,51.27
1741400819242,51.27
1741400885624,51.29
1741400951895,51.3
1741401018432,51.3
1741401084579,51.34
1741401150932,51.31
1741401217291,51.32
1741401283555,51.39
1741401349853,51.31
1741401416184,51.38
1741401482516,51.34
1741401548838,51.42
1741401615271,51.44
1741401681625,51.42
1741401747906,51.47
1741401814176,51.42
1741401880552,51.49
1741401946911,51.44
1741402013163,51.48
1741402079478,51.51
1741402212130,51.51
1741402278509,51.55
1741402344847,51.59
1741402411107,51.58
1741402477572,51.57
1741402543735,51.57
1741402610530,51.64
1741402676543,51.64
1741402742701,51.66
1741402875345,51.66
1741402941778,51.69
1741403008880,51.68
1741403074314,51.71
1741403206944,51.78
1741403278837,51.73
1741403351768,51.81
1741403424728,51.78
1741403497786,51.81
1741403570638,51.83
1741403642578,51.84
1741403708833,51.83
1741403775222,51.88
1741403841646,51.89
1741403907866,51.93
1741403974142,51.94
1741404040466,51.87
1741404106827,51.91
1741404174956,51.93
1741404239563,51.97
1741404305762,51.91
1741404372154,51.95
1741404438410,51.97
1741404504753,52.03
1741404571850,52.03
1741404637533,52.05
1741404703880,52.03
1741404770223,52.08
1741404836430,52.08
1741404969122,52.14
1741405035431,52.15
1741405101752,52.15
1741405168810,52.17
1741405234459,52.16
1741405300918,52.21
1741405367278,52.25
1741405433427,52.25
1741405499788,52.23
1741405632585,52.26
1741405698740,52.26
1741405765640,52.27
1741405831391,52.33
1741405897783,52.33
1741405964201,52.31
1741406096771,52.31
1741406163430,52.34
1741406229412,52.34
1741406295734,52.37
1741406362180,52.37
1741406428454,52.37
1741406494992,52.39
1741406561592,52.44
1741406627840,52.42
1741406694203,52.45
1741406760793,52.48
1741406826838,52.49
1741406893304,52.5
1741406959509,52.5
1741407025886,52.51
1741407092286,52.56
1741407158486,52.58
1741407224894,52.56
1741407291252,52.58
1741407357538,52.58
1741407423891,52.6
1741407490171,52.63
1741407556478,52.67
1741407622776,52.65
1741407689211,52.67
1741407755446,52.69
1741407821893,52.73
1741407887480,52.73
1741407953368,52.71
1741408086300,52.76
1741408152351,52.75
1741408218838,52.76
1741408285198,52.73
1741408351350,52.77
1741408417742,52.76
1741408484470,52.79
1741408550420,52.8
1741408616656,52.81
1741408682974,52.83
1741408749299,52.85
1741408815822,52.85
1741408881947,52.86
1741408948325,52.86
1741409014689,52.88
1741409080970,52.88
1741409147297,52.96
1741409280356,52.92
1741409346277,52.91
1741409412706,52.94
1741409478925,52.93
1741409545255,52.96
1741409611651,52.99
1741409678400,52.98
1741409744392,52.98
1741409810558,52.98
1741409878277,53
1741409943233,53.04
1741410009537,53.05
1741410075865,53.03
1741410142224,53.06
1741410208688,53.06
1741410275450,53.1
1741410341178,53.09
1741410407533,53.13
1741410475723,53.1
1741410540164,53.09
1741410606581,53.15
1741410739313,53.14
1741410805452,53.18
1741410871781,53.18
1741410938110,53.17
1741411070871,53.21
1741411137710,53.24
1741411203545,53.2
1741411269932,53.25
1741411402426,53.26
1741411468690,53.29
1741411535147,53.28
1741411604341,53.27
1741411668956,53.31
1741411734414,53.3
1741411866726,53.29
1741411938699,53.3
1741412011511,53.3
1741412084595,53.31
1741412157413,53.33
1741412230451,53.35
1741412302226,53.39
1741412374138,53.37
1741412440578,53.38
1741412506929,53.37
1741412575744,53.38
1741412639425,53.36
1741412705792,53.42
1741412772147,53.39
1741412838429,53.41
1741412904879,53.41
1741412971175,53.4
1741413037396,53.43
1741413170800,53.44
1741413236507,53.5
1741413302785,53.43
1741413369146,53.47
1741413435359,53.5
1741413501683,53.46
1741413568195,53.49
1741413634359,53.5
1741413700665,53.49
1741413766994,53.52
1741413833449,53.5
1741413899786,53.53
1741413965971,53.54
1741414032298,53.56
1741414098646,53.56
1741414164949,53.57
1741414231278,53.6
1741414297712,53.59
1741414363926,53.59
1741414430257,53.61
1741414496700,53.61
1741414563240,53.61
1741414696255,53.64
1741414762402,53.64
1741414828756,53.61
1741414895490,53.65
1741415027832,53.66
1741415094170,53.68
1741415160525,53.66
1741415226880,53.67
1741415293300,53.69
1741415359382,53.68
1741415425651,53.72
1741415492450,53.73
1741415558448,53.7
1741415624624,53.73
1741415690946,53.73
1741415757274,53.73
1741415823663,53.79
1741415889919,53.73
1741415956374,53.8
1741416022578,53.79
1741416088900,53.77
1741416155232,53.79
1741416221551,53.79
1741416287874,53.79
1741416420606,53.79
1741416486984,53.81
1741416553363,53.82
1741416618492,53.82
1741416684845,53.83
1741416751151,53.85
1741416817468,53.87
1741416950117,53.84
1741417016485,53.84
1741417082962,53.87
1741417149860,53.88
1741417215548,53.85
1741417414462,53.92
1741417480884,53.9
1741417547360,53.9
1741417613479,53.9
1741417679735,53.91
1741417746900,53.92
1741417878741,53.92
1741417945135,53.92
1741418011320,53.94
1741418077622,53.92
1741418144120,53.98
1741418210284,53.98
1741418276724,53.99
1741418343158,53.99
1741418409434,53.97
1741418475584,54.01
1741418541935,53.98
1741418608229,53.96
1741418674643,53.97
1741418740997,53.99
1741418807374,54.03
1741418875729,54.03
1741418940700,54.03
1741419006303,54.01
1741419072692,54.01
1741419139610,54.05
1741419205373,54.07
1741419271795,54.04
1741419338162,54.05
1741419404525,54.07
1741419536994,54.11
1741419603385,54.07
1741419669655,54.1
1741419868621,54.11
1741419940481,54.15
1741420013567,54.13
1741420086465,54.17
1741420159314,54.16
1741420232397,54.15
1741420310778,54.17
1741420377254,54.14
1741420443608,54.19
1741420509797,54.17
1741420642463,54.18
1741420708774,54.17
1741420775550,54.21
1741420841442,54.21
1741420907722,54.23
1741420976322,54.27
1741421040640,54.26
1741421106802,54.26
1741421173630,54.27
1741421239524,54.27
1741421305738,54.29
1741421372800,54.29
1741421438400,54.3
1741421504760,54.31
1741421571120,54.32
1741421637397,54.31
1741421703805,54.31
1741421770610,54.35
1741421836407,54.35
1741421902898,54.36
1741422035387,54.39
1741422101659,54.34
1741422168870,54.39
1741422234440,54.37
1741422300792,54.37
1741422366987,54.37
1741422433296,54.42
1741422499713,54.43
1741422566415,54.44
1741422632979,54.43
1741422699121,54.42
1741422765440,54.44
1741422831861,54.42
1741422898184,54.44
1741422964451,54.48
1741423030718,54.43
1741423097340,54.5
1741423163396,54.51
1741423229751,54.48
1741423296980,54.51
1741423362399,54.5
1741423428806,54.5
1741423494993,54.55
1741423561310,54.5
1741423627647,54.57
1741423693980,54.56
1741423760318,54.53
1741423826639,54.56
1741423959281,54.62
1741424025622,54.61
1741424092148,54.61
1741424158298,54.62
1741424224591,54.58
1741424291800,54.63
1741424357240,54.63
1741424423613,54.61
1741424490740,54.63
1741424555183,54.64
1741424621502,54.62
1741424687917,54.69
1741424754151,54.67
1741424820675,54.69
1741424886811,54.67
1741424953187,54.68
1741425019463,54.7
1741425085824,54.67
1741425152108,54.7
1741425284891,54.72
1741425351242,54.7
1741425417581,54.73
1741425483829,54.74
1741425555630,54.75
1741425621984,54.7
1741425688242,54.76
1741425754692,54.75
1741425820893,54.81
1741425887218,54.76
1741425953653,54.77
1741426019907,54.82
1741426086196,54.8
1741426152616,54.8
1741426218846,54.83
1741426285939,54.83
1741426351503,54.8
1741426417896,54.79
1741426484155,54.85
1741426550539,54.79
1741426616800,54.85
1741426683122,54.87
1741426749606,54.83
1741426815959,54.85
1741426882170,54.86
1741426948556,54.85
1741427014831,54.85
1741427081112,54.9
1741427147561,54.89
1741427213888,54.91
1741427280193,54.86
1741427346479,54.93
1741427479308,54.9
1741427545535,54.9
1741427611894,54.93
1741427678202,54.92
1741427744469,54.95
1741427810808,54.92
1741427877338,54.92
1741427943492,54.92
1741428009849,54.94
1741428076151,54.94
1741428142566,54.95
1741428208760,54.95
1741428275310,54.95
1741428341643,54.98
1741428407998,54.98
1741428475608,54.98
1741428540560,54.96
1741428606868,54.98
1741428673231,54.99
1741428739477,54.97
1741428805940,55.01
1741428872186,55.02
1741428938656,54.98
1741429071103,54.99
1741429137543,55.04
1741429203880,55
1741429336510,54.98
1741429402773,55.01
1741429469570,55.03
1741429535445,55.05
1741429601776,55.08
1741429668117,55.05
1741429734357,55.02
1741429799802,55.05
1741429866452,55.06
1741429932271,55.03
1741429998568,55.07
1741430064897,55.08
1741430131235,55.07
1741430197724,55.06
1741430264820,55.04
1741430396585,55.08
1741430468525,55.08
1741430541799,55.04
1741430614903,55.07
1741430687780,55.05
1741430760927,55.08
1741430832633,55.06
1741430899168,55.05
1741430965320,55.05
1741431031651,55.05
1741431097983,55.05
1741431164378,55.04
1741431230735,55.04
1741431297810,55.06
1741431429565,55.05
1741431495932,55.05
1741431562288,55.04
1741431694897,55.03
1741431766830,55.04
1741431839695,55.05
1741431912646,55.01
1741431985802,55.03
1741432058709,55.01
1741432137149,55.01
1741432203502,55.01
1741432269859,55.03
1741432336184,55.07
1741432402424,55.06
1741432468680,55.03
1741432535720,55.01
1741432601425,55.04
1741432667780,55.06
1741432734135,55.03
1741432800491,55.02
1741432866793,54.98
1741432932995,55.04
1741432999351,55
1741433065631,55.03
1741433132650,54.99
1741433198283,55
1741433264574,54.98
1741433330917,55
1741433397322,55.01
1741433463685,55.01
1741433529903,55
1741433596409,55.04
1741433728925,55
1741433795285,54.99
1741433861676,54.98
1741433928400,55
1741433994214,54.99
1741434060727,54.98
1741434126963,54.98
1741434193235,54.99
1741434259593,55.01
1741434325952,55.01
1741434392188,55.02
1741434458666,55.02
1741434591381,55
1741434657535,55.01
1741434723891,54.97
1741434790185,54.98
1741434856607,55.02
1741434922838,54.98
1741434989318,55
1741435055501,54.96
1741435121820,54.99
1741435188159,55
1741435254545,54.98
1741435320905,54.99
1741435387264,54.98
1741435453475,55
1741435519980,54.96
1741435586168,54.97
1741435652493,55.01
1741435718852,54.99
1741435785216,55.01
1741435851568,55.05
1741435917779,55.02
1741435984113,55.03
1741436050464,55.02
1741436116795,55.04
1741436183880,55.03
1741436249512,55
1741436315842,54.99
1741436381201,54.96
1741436447360,54.97
1741436513711,55.01
1741436580710,54.98
1741436646464,54.97
1741436712814,54.97
1741436845505,54.93
1741437110681,54.9
1741437182529,54.93
1741437255519,54.89
1741437328627,54.87
1741437401536,54.88
1741437475672,54.8
1741437546324,54.82
1741437612680,54.84
1741437679360,54.8
1741437811518,54.8
1741437877895,54.8
1741437944185,54.79
1741438010606,54.76
1741438076962,54.78
1741438143181,54.8
1741438209472,54.93
1741438276300,54.93
1741438342170,54.83
1741438408538,54.85
1741438474894,54.87
1741438546986,54.8
1741438618904,54.8
1741438692130,54.77
1741438765100,54.82
1741438838100,54.77
1741438917679,54.71
1741438989567,54.71
1741439055921,54.66
1741439122169,54.66
1741439188639,54.66
1741439254997,54.73
1741439321137,54.71
1741439387493,54.72
1741439453845,54.69
1741439520184,54.74
1741439586554,54.75
1741439652703,54.8
1741439785460,54.73
1741439851774,54.65
1741439918154,54.67
1741439984477,54.67
1741440050835,54.69
1741440116984,54.67
1741440183339,54.73
1741440249695,54.69
1741440316510,54.71
1741440382405,54.67
1741440448762,54.69
1741440515119,54.66
1741440581270,54.63
1741440647625,54.6
1741440780338,54.53
1741440846587,54.6
1741440913680,54.59
1741440979404,54.61
1741441045606,54.69
1741441111913,54.65
1741441178196,54.53
1741441244624,54.53
1741441310838,54.59
1741441377329,54.63
1741441443494,54.57
1741441510370,54.44
1741441576145,54.49
1741441642453,54.45
1741441708891,54.36
1741441775105,54.36
1741441841599,54.4
1741441907955,54.39
1741441976155,54.38
1741442040503,54.43
1741442106814,54.39
1741442173850,54.32
1741442239522,54.26
1741442305737,54.23
1741442372151,54.25
1741442438588,54.3
1741442504740,54.34
1741442571580,54.23
1741442637449,54.15
1741442703784,54.11
1741442836518,54.18
1741442902681,54.07
1741442969190,54.13
1741443101734,54.05
1741443168900,54.02
1741443233418,54.03
1741443299774,53.95
1741443366133,53.93
1741443432284,53.91
1741443565300,53.94
1741443636893,53.87
1741443709747,53.94
1741443782709,53.84
1741443855834,53.75
1741443928633,53.72
1741444000631,53.75
1741444067500,53.72
1741444199703,53.7
1741444265818,53.66
1741444332151,53.64
1741444398468,53.59
1741444464882,53.61
1741444531283,53.57
1741444597640,53.54
1741444730146,53.47
1741444801994,53.38
1741444873920,53.38
1741444946829,53.44
1741445019944,53.36
1741445099409,53.35
1741445165764,53.33
1741445244408,53.31
1741445310547,53.26
1741445376858,53.23
1741445509626,53.23
1741445576391,53.2
1741445642183,53.19
1741445708687,53.15
1741445775420,53.14
1741445841191,53.15
1741445907552,53.12
1741445973849,53.08
1741446040184,53.08
1741446106611,53.01
1741446239116,53.06
1741446305471,53
1741446377359,52.99
1741446450337,52.96
1741446523227,53.01
1741446596183,52.94
1741446669404,52.94
1741446748470,52.95
1741446814607,52.91
1741446880963,52.88
1741446947139,52.93
1741447013473,52.86
1741447079828,52.87
1741447146169,52.83
1741447212474,52.8
1741447278781,52.81
1741447411607,52.72
1741447477761,52.79
1741447544980,52.73
1741447610429,52.71
1741447676806,52.73
1741447743155,52.68
1741447809557,52.67
1741447875802,52.67
1741448008791,52.61
1741448074779,52.55
1741448141145,52.6
1741448207503,52.58
1741448275909,52.57
1741448340154,52.53
1741448406423,52.5
1741448472792,52.5
1741448539280,52.48
1741448605359,52.47
1741448671688,52.45
1741448738158,52.42
1741448804514,52.38
1741448870872,52.36
1741448937430,52.33
1741449003380,52.29
1741449069659,52.33
1741449135982,52.3
1741449202367,52.29
1741449268759,52.22
1741449335164,52.2
1741449401520,52.15
1741449467675,52.11
1741449534230,52.15
1741449600313,52.07
1741449666704,52.06
1741449733520,52.05
1741449799208,51.99
1741449998227,51.92
1741450064577,51.85
1741450130927,51.8
1741450197278,51.79
1741450263464,51.78
1741450329979,51.75
1741450462478,51.63
1741450534301,51.6
1741450608565,51.58
1741450680341,51.54
1741450753259,51.55
1741450826166,51.41
1741450898700,51.46
1741450964424,51.35
1741451096974,51.32
1741451163281,51.27
1741451295991,51.19
1741451362347,51.17
1741451434168,51.15
1741451500459,51.1
1741451575537,51.04
1741451645292,50.94
1741451718284,50.9
1741451792178,50.86
1741451864184,50.77
1741451936186,50.74
1741452068686,50.64
1741452135201,50.61
1741452201400,50.61
1741452267655,50.47
1741452334340,50.47
1741452400464,50.46
1741452466820,50.42
1741452532959,50.37
1741452599336,50.32
1741452665931,50.31
1741452732102,50.27
1741452798483,50.22
1741452864696,50.21
1741452931217,50.13
1741452997378,50.13
1741453063949,50.06
1741453130143,50.06
1741453196469,50.05
1741453262776,50
1741453329195,49.94
1741453461729,49.92
1741453528120,49.86
1741453594797,49.87
1741453660858,49.79
1741453727530,49.8
1741453793510,49.72
1741453859867,49.78
1741453926198,49.72
1741453992378,49.7
1741454058738,49.69
1741454125720,49.68
1741454257815,49.61
1741454324155,49.6
1741454390491,49.54
1741454456799,49.57
1741454523460,49.54
1741454655766,49.5
1741454727676,49.51
1741454800775,49.5
1741454875939,49.35
1741454947100,49.33
1741455019923,49.39
1741455091792,49.41
1741455158172,49.41
1741455224457,49.32
1741455290890,49.28
1741455357232,49.33
1741455423609,49.36
1741455489967,49.28
1741455556103,49.2
1741455622481,49.22
1741455689920,49.28
1741455755200,49.4
1741455821450,49.51
1741455887781,49.37
1741455954126,49.44
1741456020347,49.3
1741456086688,49.33
1741456152854,49.34
1741456219221,49.25
1741456285532,49.25
1741618214189,52.13
1741618280200,52.11
1741618346421,52.08
1741618412773,52.18
1741618479130,52.36
1741618545477,52.35
1741618611830,52.4
1741618678196,52.42
1741618744510,52.4
1741618810690,52.36
1741618876995,52.35
1741618943403,52.41
1741619009695,52.4
1741619076440,52.44
1741619142287,52.38
1741619208754,52.33
1741619341461,52.33
1741619407610,52.2
1741619473969,52.22
1741619540320,52.22
